name,ozon_url,wb_url,price_ozon_card,price_wb,wb_article,parsed_at
Дивандек покрывало накидка на диван 65х170 SLIM OPERA WINE,https://www.ozon.ru/product/divandek-pokryvalo-nakidka-na-divan-65h170-slim-opera-wine-652462512/?from_sku=652463458&oos_search=false,https://www.wildberries.ru/catalog/110963683/detail.aspx?targetUrl=EX,998,784.0,110963683,2025-11-14T03:59:34
Дивандек покрывало накидка на диван 65х170 SLIM OPERA BITTER,https://www.ozon.ru/product/divandek-pokryvalo-nakidka-na-divan-65h170-slim-opera-bitter-652463458/?from_sku=652463458&oos_search=false,https://www.wildberries.ru/catalog/110963668/detail.aspx?targetUrl=EX,998,749.0,110963668,2025-11-14T03:59:36
"Покрывало на кресло 65х170 см. накидка, SLIM BRAVO WASABI",https://www.ozon.ru/product/pokryvalo-na-kreslo-65h170-sm-nakidka-slim-bravo-wasabi-1861207489/?from_sku=1861201224&oos_search=false,https://www.wildberries.ru/catalog/327955201/detail.aspx?targetUrl=EX,1053,772.0,327955201,2025-11-14T03:59:38
"Покрывало на диван, букле 65х170 см. накидка, SLIM BRAVO SNOW",https://www.ozon.ru/product/pokryvalo-na-divan-bukle-65h170-sm-nakidka-slim-bravo-snow-1538699196/?from_sku=1861201224&oos_search=false,https://www.wildberries.ru/catalog/216869483/detail.aspx?targetUrl=EX,790,772.0,216869483,2025-11-14T03:59:40
Дивандек на диван и кресло 65х170 накидка SLIM CILIUM UMBER,https://www.ozon.ru/product/divandek-na-divan-i-kreslo-65h170-nakidka-slim-cilium-umber-671493707/?from_sku=671493689&oos_search=false,https://www.wildberries.ru/catalog/110831286/detail.aspx,878,731.0,110831286,2025-11-14T03:59:42
Чехол накидка на диван или кресло 65х170 SLIM CILIUM CHOCOLATE,https://www.ozon.ru/product/chehol-nakidka-na-divan-ili-kreslo-65h170-slim-cilium-chocolate-671493700/?from_sku=671493689&oos_search=false,https://www.wildberries.ru/catalog/110831278/detail.aspx?targetUrl=EX,872,714.0,110831278,2025-11-14T03:59:45
Покрывало UNO CITUS GRAFIT 135*210,https://www.ozon.ru/product/pokryvalo-uno-citus-grafit-135-210-667869986/?_bctx=CAQQyp8Y&hs=1,https://www.wildberries.ru/catalog/371202089/detail.aspx?targetUrl=EX,1922,1476.0,371202089,2025-11-14T03:59:47
"Ковер на пол с ворсом, LANGORIA STONE 135х200 см",https://www.ozon.ru/product/kover-na-pol-s-vorsom-langoria-stone-135h200-sm-1484935284/?from_sku=1484938197&oos_search=false,https://www.wildberries.ru/catalog/216562121/detail.aspx?targetUrl=EX,4798,3750.0,216562121,2025-11-14T03:59:48
"Ковер для кухни LANGORIA PLUM 135х200 см, противоскользящий, пушистый",https://www.ozon.ru/product/kover-dlya-kuhni-langoria-plum-135h200-sm-protivoskolzyashchiy-pushistyy-1484968881/?from_sku=1484938197&oos_search=false,https://www.wildberries.ru/catalog/216562103/detail.aspx?targetUrl=EX,5043,3750.0,216562103,2025-11-14T03:59:51
Ковер 80х150 прикроватный вискозный ORIGINAL ESCAPE,https://www.ozon.ru/product/kover-80h150-prikrovatnyy-viskoznyy-original-escape-1487869410/?_bctx=CAQQyp8Y&hs=1,https://www.wildberries.ru/catalog/216264662/detail.aspx?targetUrl=EX,3944,2755.0,216264662,2025-11-14T03:59:53
"Коврик для кухни на пол 50х150, для прихожей, ковровая дорожка OPTIMA MELODY",https://www.ozon.ru/product/kovrik-dlya-kuhni-na-pol-50h150-dlya-prihozhey-kovrovaya-dorozhka-optima-melody-1377125531/?_bctx=CAQQyp8Y&hs=1,https://www.wildberries.ru/catalog/199767092/detail.aspx,1066,841.0,199767092,2025-11-14T03:59:55
"Коврик для кухни на пол 50х150, противоскользящий, для прихожей, на балкон OPTIMA SIRIUS",https://www.ozon.ru/product/kovrik-dlya-kuhni-na-pol-50h150-protivoskolzyashchiy-dlya-prihozhey-na-balkon-optima-sirius-1048092530/?from_sku=1377125531&oos_search=false,https://www.wildberries.ru/catalog/166417055/detail.aspx?targetUrl=EX,786,682.0,166417055,2025-11-14T03:59:57
"Штора в гостиную 170х270 см, ROUND DENIM",https://www.ozon.ru/product/shtora-v-gostinuyu-170h270-sm-round-denim-571060231/?_bctx=CAQQyp8Y&hs=1,https://www.wildberries.ru/catalog/111710732/detail.aspx?targetUrl=EX,1571,1351.0,111710732,2025-11-14T03:59:59
Коврик для ванной и туалета противоскользящий 40x60 см LANGORIA MILK,https://www.ozon.ru/product/kovrik-dlya-vannoy-i-tualeta-protivoskolzyashchiy-40x60-sm-langoria-milk-2071489281/?from_sku=956649206&oos_search=false,https://www.wildberries.ru/catalog/400549779/detail.aspx?targetUrl=EX,614,582.0,400549779,2025-11-14T04:00:01
"CASSIA Комплект покрывало с наволочками Евро-макси ""Ирисы"" стеганые, микрофибра, 230x250 + 50x70 - 2 шт, 3 предмета",https://www.ozon.ru/product/cassia-komplekt-pokryvalo-s-navolochkami-evro-maksi-irisy-steganye-mikrofibra-230x250-50x70-2-sht-910821477/?at=EqtkLNPJJhq70NnLumYGAkWs9rkGGCxnA2ZMHq4L4oW&from_sku=910822342&oos_search=false,https://www.wildberries.ru/catalog/438907475/detail.aspx,2049,2832.0,438907475,2025-11-14T04:00:03
"CASSIA Покрывало с наволочками комплект евро ""Колибри"" микрофибра, 230х250, 50х70 - 2 шт, 3 предмета",https://www.ozon.ru/product/cassia-pokryvalo-s-navolochkami-komplekt-evro-kolibri-mikrofibra-230h250-50h70-2-sht-3-predmeta-2607904569/?at=EqtkLNPJJhq70NnLumYGAkWs9rkGGCxnA2ZMHq4L4oW&from_sku=910822342&oos_search=false,https://www.wildberries.ru/catalog/488870453/detail.aspx?targetUrl=EX,2725,3512.0,488870453,2025-11-14T04:00:05
"CASSIA Комплект покрывало с наволочками Евро-макси ""Соланж"" стеганые, микрофибра, 230x250 + 50x70 - 2 шт, 3 предмета",https://www.ozon.ru/product/cassia-komplekt-pokryvalo-s-navolochkami-evro-maksi-solanzh-steganye-mikrofibra-230x250-50x70-2-sht-884614778/?at=EqtkLNPJJhq70NnLumYGAkWs9rkGGCxnA2ZMHq4L4oW&from_sku=910822342&oos_search=false,https://www.wildberries.ru/catalog/438907476/detail.aspx?targetUrl=EX,2486,3287.0,438907476,2025-11-14T04:00:07
